har_variable,har_code,har_label,d_code,d_label,variable_type,range,null_val
vision_disability,1,With disability,11,Toal disability,cat,,
vision_disability,1,With disability,12,Severe disability,cat,,
vision_disability,1,With disability,13,Mild disability,cat,,
vision_disability,2,Without disability,20,Without disability (not specified),cat,,
vision_disability,3,Not reported,30,Not Reported (not specified),cat,,
hearing_disability,1,With disability,10,With disability (not specified,cat,,
hearing_disability,1,With disability,11,Toal disability,cat,,
hearing_disability,1,With disability,12,Severe disability,cat,,
hearing_disability,1,With disability,13,Mild disability,cat,,
hearing_disability,2,Without disability,20,Without disability (not specified),cat,,
hearing_disability,3,Not reported,30,Not Reported (not specified),cat,,
walking_disability,1,With disability,10,With disability (not specified,cat,,
walking_disability,1,With disability,11,Toal disability,cat,,
walking_disability,1,With disability,12,Severe disability,cat,,
walking_disability,1,With disability,13,Mild disability,cat,,
walking_disability,2,Without disability,20,Without disability (not specified),cat,,
walking_disability,3,Not reported,30,Not Reported (not specified),cat,,
mental_disability,1,With disability,10,With disability (not specified,cat,,
mental_disability,1,With disability,11,Toal disability,cat,,
mental_disability,1,With disability,12,Severe disability,cat,,
mental_disability,1,With disability,13,Mild disability,cat,,
mental_disability,2,Without disability,20,Without disability (not specified),cat,,
mental_disability,3,Not reported,30,Not Reported (not specified),cat,,
literacy,1,Does read/write,10,Does read/write (not specified),cat,,
literacy,2,Does not read/write,20,Does not read/write (not specified),cat,,
literacy,9,Not Reported,90,Not Reported (not specified),cat,,
school_education,1,Does go to school,10,Does go to school (not specified),cat,,
school_education,1,Does go to school,11,Does go to public school,cat,,
school_education,1,Does go to school,12,Does go to private school,cat,,
school_education,2,Does not go to school,20,Does not go to school (nor specified),cat,,
school_education,2,Does not go to school,21,"Does not, alredy went to school",cat,,
school_education,2,Does not go to school,22,"Does not, never went to school",cat,,
school_education,3,Not Reported,30,Not (reported (not specified),cat,,
last_education_level,1,Preschool,10,Preschool (not specified),cat,,
last_education_level,2,Elementary school,20,Elementary school (not specified),cat,,
last_education_level,2,Elementary school,21,Brasilian elementary 1 to 4 year,cat,,
last_education_level,2,Elementary school,22,Brasilian elementary 5 year,cat,,
last_education_level,2,Elementary school,23,Brasilian elementary 6 to 9 year,cat,,
last_education_level,2,Elementary school,24,Fomer brasilian elementary,cat,,
last_education_level,2,Elementary school,25,Brasilian supplementary elementary,cat,,
last_education_level,3,Secondary school,30,Secondary school (not specified),cat,,
last_education_level,3,Secondary school,31,Fomer brasilian secondary school,cat,,
last_education_level,4,High school,40,High school (not specified),cat,,
last_education_level,4,High school,41,Technical High School (not specified),cat,,
last_education_level,5,Non-university Higher Education,50,Non-university Higher Education,cat,,
last_education_level,5,Non-university Higher Education,51,Non-university higher education incomplete,cat,,
last_education_level,5,Non-university Higher Education,52,Non-university higher education complete,cat,,
last_education_level,6,University,60,University (not specified),cat,,
last_education_level,6,University,61,University incomplete,cat,,
last_education_level,6,University,62,University complete,cat,,
last_education_level,7,"Specialization, master's degree, doctoral degree",70,"Specialization, master's degree, doctoral degree (not specified)",cat,,
last_education_level,7,"Specialization, master's degree, doctoral degree",71,Specialization,cat,,
last_education_level,7,"Specialization, master's degree, doctoral degree",72,Master's degree,cat,,
last_education_level,7,"Specialization, master's degree, doctoral degree",73,Doctoral degree,cat,,
last_education_level,8,Otro,80,Other (not specified),cat,,
last_education_level,8,Otro,81,Normal school,cat,,
last_education_level,8,Otro,82,Youth and adult alphabetization,cat,,
last_education_level,8,Otro,83,Peruvian special elementary school,cat,,
last_education_level,8,Otro,84,Uneducated,cat,,
last_education_level,8,Otro,85,Not reported,cat,,
same_ubi_school_living,1,Within the district,10,Within the district,cat,,
same_ubi_school_living,2,Outside the district,20,Outside the district,cat,,
same_ubi_school_living,3,International,30,International,cat,,
work_level,1,Employee with defined salary,,,cat,,
work_level,2,MIlitary servicemen,,,cat,,
work_level,3,Government employee,,,cat,,
work_level,4,Laborer,,,cat,,
work_level,5,Freelancer,,,cat,,
work_level,6,Employeer,,,cat,,
work_level,7,Unpaid,,,cat,,
work_level,8,Employee at family business,,,cat,,
work_level,9,Domestic employee,,,cat,,
work_level,10,Other,,,cat,,
room_number,,,,,num,1-30,99
bedroom_number,,,,,num,1-20,99
housing_person_number,,,,,num,1-98,
has_tv,1,Yes,,,cat,,
has_tv,2,No,,,cat,,
has_washing_machine,1,Yes,,,cat,,
has_washing_machine,2,No,,,cat,,
has_refrigerator,1,Yes,,,cat,,
has_refrigerator,2,No,,,cat,,
has_mobile_phone,1,Yes,,,cat,,
has_mobile_phone,2,No,,,cat,,
has_phone,1,Yes,,,cat,,
has_phone,2,No,,,cat,,
has_computer,1,Yes,,,cat,,
has_computer,2,No,,,cat,,
has_moto,1,Yes,,,cat,,
has_moto,2,No,,,cat,,
has_car,1,Yes,,,cat,,
has_car,2,No,,,cat,,
gas_service,1,Yes,10,Yes,cat,,
gas_service,2,No,20,No,cat,,
gas_service,9,No report,90,No report,cat,,
people_other_country,1,Yes,,,cat,,
people_other_country,2,No,,,cat,,
id_person,,,,,num,,
