variable,har_variable,code,label,d_code
c2_p6,water_source_type,8,8: otro,60
c2_p6,water_source_type,3,3: pilón o pileta de uso público,61
c2_p6,water_source_type,10,10: vecino,64
c2_p10,sewerage_type,1,1: red pública de desagüe dentro de la vivienda,11
c2_p10,sewerage_type,2,"2: red pública de desagüe fuera de la vivienda, pero dentro de la edificación",12
c2_p10,sewerage_type,3,"3: pozo séptico, tanque séptico o biodigestor",20
c2_p10,sewerage_type,5,5: pozo ciego o negro,21
c2_p10,sewerage_type,4,4: letrina ( con tratamiento),30
c2_p10,sewerage_type,6,"6: río, acequia, canal o similar",40
c2_p10,sewerage_type,8,8: otro,50
c2_p10,sewerage_type,7,7: campo abierto o al aire libre,51
c3_p2_13,internet_service,1,"1: si, tiene conexión a internet",10
c3_p2_13,internet_service,2,"2: no, tiene conexión a internet",20
c2_p13,dwelling_ownership,2,2: la vivienda es propia sin título de propiedad,10
c2_p13,dwelling_ownership,3,3: la vivienda es propia con título de propiedad,20
c2_p13,dwelling_ownership,1,1: la vivienda es alquilada,30
c2_p13,dwelling_ownership,4,4: cedida,40
c2_p13,dwelling_ownership,5,5: otra forma,50
c5_p29_1,month_last_born_child,1,Enero,1
c5_p29_1,month_last_born_child,2,Febrero,2
c5_p29_1,month_last_born_child,3,marzo,3
c5_p29_1,month_last_born_child,4,abril,4
c5_p29_1,month_last_born_child,5,mayo,5
c5_p29_1,month_last_born_child,6,junio,6
c5_p29_1,month_last_born_child,7,julio,7
c5_p29_1,month_last_born_child,8,agosto,8
c5_p29_1,month_last_born_child,9,septiembre,9
c5_p29_1,month_last_born_child,10,octubre,10
c5_p29_1,month_last_born_child,11,noviembre,11
c5_p29_1,month_last_born_child,12,diciembre,12
c5_p29_1,month_last_born_child,99,Perdido,99
c5_p29_2,year_last_born_child,,,
c5_p28,total_alive_child,,,
c5_p27,total_child,,,
c5_p24,marital_status,1,Conviviente,10
c5_p24,marital_status,3,Casado,20
c5_p24,marital_status,5,Divorciado,30
c5_p24,marital_status,2,Separado/a,40
c5_p24,marital_status,4,Viudo/a,50
c5_p24,marital_status,6,Soltero,60
c5_p2,person_sex,1,Hombre ,1
c5_p3,person_sex,2,Mujer,2
c5_p4_1,age,,,
c5_p4_1_mes,age_months,,,
c5_p1,relationship_chief,1,jefe o jefa del hogar,10
c5_p1,relationship_chief,2,esposo(a) / compañero(a),20
c5_p1,relationship_chief,3,hijo(a) / hijastro(a),30
c5_p1,relationship_chief,8,otro(a) pariente,40
c5_p1,relationship_chief,4,yerno / nuera,41
c5_p1,relationship_chief,6,padre / madre / suegro(a),42
c5_p1,relationship_chief,5,nieto(a),44
c5_p1,relationship_chief,7,hermano(a),46
c5_p1,relationship_chief,11,otro(a) no pariente,50
c5_p1,relationship_chief,10,pensionista,53
c5_p1,relationship_chief,9,trabajador(a) del hogar,54
c5_p25_i_mc,ethnic_group,4,parte de otro pueblo indígena u originario,10
c5_p25_i_mc,ethnic_group,1,quechua,11
c5_p25_i_mc,ethnic_group,2,aimara,12
c5_p25_i_mc,ethnic_group,3,nativo o indígena de la amazonía,13
c5_p25_i_mc,ethnic_group,10,cholo,14
c5_p25_i_mc,ethnic_group,11,culturas preincas,15
c5_p25_i_mc,ethnic_group,12,andino,16
c5_p25_i_mc,ethnic_group,13,pueblos indígenas de otros países,17
c5_p25_i_mc,ethnic_group,5,"negro, moreno, zambo, mulato/pueblo afroperuano o afrodescendiente",20
c5_p25_i_mc,ethnic_group,14,trigueño,32
c5_p25_i_mc,ethnic_group,7,mestizo,33
c5_p25_i_mc,ethnic_group,6,blanco,34
c5_p25_i_mc,ethnic_group,8,otro,40
c5_p25_i_mc,ethnic_group,15,nikkei,42
c5_p25_i_mc,ethnic_group,16,tusan,43
c5_p25_i_mc,ethnic_group,9,no sabe/no responde,50
c5_p22,company_number_employees,1,de 1 a 5 personas,10
c5_p22,company_number_employees,2,de 6 a 10 personas,21
c5_p22,company_number_employees,3,de 11 a 50 personas,22
c5_p22,company_number_employees,4,de 51 a más personas,23
c5_p7,born_admin_2,1,"si, la madre vivía en este distrito",10
c5_p7,born_admin_2,2,"no, la madre vivía en este distrito",20
c5_p6,first_div_5_years,2,"si, vivía hace 5 años en este distrito",11
c5_p6,first_div_5_years,3,"no, vivía hace 5 años en este distrito",12
c5_p6,first_div_5_years,1,aún no había nacido,22
c5_p9_7,permanent_disability,0,si tiene discapacidad,10
c5_p9_7,permanent_disability,1,no tiene discapacidad,20
c5_p9_1,vision_disability,1,"si, tiene discapacidad para ver",10
c5_p9_1,vision_disability,0,"no, tiene discapacidad para ver",20
c5_p9_2,hearing_disability,1,"si, tiene discapacidad para ver",10
c5_p9_2,hearing_disability,0,"no, tiene discapacidad para ver",20
c5_p9_4,walking_disability,1,"si, tiene discapacidad para ver",10
c5_p9_4,walking_disability,0,"no, tiene discapacidad para ver",20
c5_p9_5,mental_disability,1,"si, tiene discapacidad para ver",10
c5_p9_5,mental_disability,0,"no, tiene discapacidad para ver",20
c5_p9_6,mental_disability,1,"si, tiene discapacidad para ver",10
c5_p9_6,mental_disability,0,"no, tiene discapacidad para ver",20
c5_p12,literacy,1,"si, sabe leer y escribir",10
c5_p12,literacy,2,"no, sabe leer y escribir",20
c5_p14,school_education,1,"si, asiste a algún colegió, instituto o universidad",10
c5_p14,school_education,2,"no, asiste a algún colegió, instituto o universidad",20
c5_p13_niv,last_education_level,2,inicial,10
c5_p13_niv,last_education_level,3,primaria,20
c5_p13_niv,last_education_level,4,secundaria,40
c5_p13_niv,last_education_level,6,superior no universitaria incompleta,51
c5_p13_niv,last_education_level,7,superior no universitaria completa,52
c5_p13_niv,last_education_level,8,superior universitaria incompleta,61
c5_p13_niv,last_education_level,9,superior universitaria completa,62
c5_p13_niv,last_education_level,10,maestría / doctorado,70
c5_p13_niv,last_education_level,5,básica especial,83
c5_p13_niv,last_education_level,1,sin nivel,84
c5_p15,same_ubi_school_living,1,"aquí, en este distrito",10
c5_p15,same_ubi_school_living,2,en otro distrito,20
c5_p21,work_level,3,3: empleado(a),1
c5_p21,work_level,4,4: obrero(a),4
c5_p21,work_level,2,2: trabajador(a) independiente o por cuenta propia,5
c5_p21,work_level,1,1: empleador(a) o patrono(a),6
c5_p21,work_level,5,5: trabajador(a) en negocio de un familiar,8
c5_p21,work_level,6,6: trabajador(a) del hogar,9
c5_p21,work_level,7,7: otro,10
c2_p12,room_number,,,
c4_p1,housing_person_number,,,
c3_p2_2,has_tv,1,"1: si, tiene televisor a color",1
c3_p2_2,has_tv,2,"2: no, tiene televisor a color",2
c3_p2_5,has_washing_machine,1,"1: si, tiene lavadora de ropa",1
c3_p2_5,has_washing_machine,2,"2: no, tiene lavadora de ropa",2
c3_p2_4,has_refrigerator,1,"1: si, tiene refrigeradora o congeladora",1
c3_p2_4,has_refrigerator,2,"2: no, tiene refrigeradora o congeladora",2
c3_p2_10,has_mobile_phone,1,"1: si, tiene teléfono celular",1
c3_p2_10,has_mobile_phone,2,"2: no, tiene teléfono celular",2
c3_p2_11,has_phone,1,"1: si, tiene teléfono fijo",1
c3_p2_11,has_phone,2,"2: no, tiene teléfono fijo",2
c3_p2_9,has_computer,1,"1: si, tiene computadora/laptop/tablet",1
c3_p2_9,has_computer,2,"2: no, tiene computadora/laptop/tablet",2
c3_p2_15,has_moto,1,"1: si, tiene motocicleta",1
c3_p2_15,has_moto,2,"2: no, tiene motocicleta",2
c3_p2_14,has_car,1,"1: si, tiene automóvil, camioneta",1
c3_p2_14,has_car,2,"2: no, tiene automóvil, camioneta",2
c3_p1_3,gas_service,1,1: si usa gas natural,10
c3_p1_3,gas_service,0,0: no usa gas natural,20
c3_p3,people_other_country,1,"1: si, se fueron a vivir a otro país",1
c3_p3,people_other_country,2,"2: no, se fueron a vivir a otro país",2
id_pob_imp_f,id_person,,,
